time,theta,omega,energy
2.609999999999999876e+00,-9.968127777801702449e-02,-1.697545413539290227e+00,-8.320472295727899592e+00
2.620000000000000107e+00,-1.166079191772640272e-01,-1.687782866310109320e+00,-8.319074756994716324e+00
2.629999999999999893e+00,-1.334286811878769297e-01,-1.676369535812469280e+00,-8.317697308362657083e+00
2.640000000000000124e+00,-1.501271237988803242e-01,-1.663318986388210963e+00,-8.316342808962563282e+00
2.649999999999999911e+00,-1.666869526053239570e-01,-1.648646774900512035e+00,-8.315013991277288241e+00
2.660000000000000142e+00,-1.830920384888851393e-01,-1.632370401811724658e+00,-8.313713447282722768e+00
2.669999999999999929e+00,-1.993264367818979033e-01,-1.614509256790828129e+00,-8.312443615844266276e+00
2.680000000000000160e+00,-2.153744058622314994e-01,-1.595084559275893321e+00,-8.311206771458198972e+00
2.689999999999999947e+00,-2.312204251308672132e-01,-1.574119294451246986e+00,-8.310005014408416102e+00
2.700000000000000178e+00,-2.468492123287641671e-01,-1.551638145128140467e+00,-8.308840262389484366e+00
2.709999999999999964e+00,-2.622457401546120503e-01,-1.527667420041435964e+00,-8.307714243627264850e+00
2.720000000000000195e+00,-2.773952521502839885e-01,-1.502234979092960110e+00,-8.306628491508673662e+00
2.729999999999999982e+00,-2.922832778261721387e-01,-1.475370156084674145e+00,-8.305584340713160429e+00
2.740000000000000213e+00,-3.068956470040538620e-01,-1.447103679491666739e+00,-8.304582924820090639e+00
2.750000000000000000e+00,-3.212185033606436146e-01,-1.417467591826283124e+00,-8.303625175349115040e+00
2.760000000000000231e+00,-3.352383171604780276e-01,-1.386495168140601031e+00,-8.302711822174723366e+00
2.770000000000000018e+00,-3.489418971722069163e-01,-1.354220834205181134e+00,-8.301843395241933266e+00
2.780000000000000249e+00,-3.623164017676719917e-01,-1.320680084887828176e+00,-8.301020227497614812e+00
2.790000000000000036e+00,-3.753493492082977667e-01,-1.285909403237326387e+00,-8.300242458941255563e+00
2.800000000000000266e+00,-3.880286271282551436e-01,-1.249946180754140324e+00,-8.299510041690380646e+00
2.810000000000000053e+00,-4.003425012285423135e-01,-1.212828639303292100e+00,-8.298822745949232527e+00
2.819999999999999840e+00,-4.122796232005312422e-01,-1.174595755094488769e+00,-8.298180166764678845e+00
2.830000000000000071e+00,-4.238290379016112497e-01,-1.135287185121512943e+00,-8.297581731450774711e+00
2.839999999999999858e+00,-4.349801898093057506e-01,-1.094943196417380360e+00,-8.297026707562702441e+00
2.850000000000000089e+00,-4.457229287836139697e-01,-1.053604598444261242e+00,-8.296514211302051578e+00
2.859999999999999876e+00,-4.560475151703258789e-01,-1.011312678898118378e+00,-8.296043216238155438e+00
2.870000000000000107e+00,-4.659446242806559169e-01,-9.681091431678836567e-01,-8.295612562234817133e+00
2.879999999999999893e+00,-4.754053502847362389e-01,-9.240360576481831956e-01,-8.295220964477442394e+00
2.890000000000000124e+00,-4.844212095582949296e-01,-8.791357970635639285e-01,-8.294867022502787179e+00
2.899999999999999911e+00,-4.929841435232187874e-01,-8.334509959212137442e-01,-8.294549229141573221e+00
2.910000000000000142e+00,-5.010865210236682410e-01,-7.870245041686781962e-01,-8.294265979293241386e+00
2.919999999999999929e+00,-5.087211402799783899e-01,-7.398993470933598049e-01,-8.294015578461738869e+00
2.930000000000000160e+00,-5.158812304627549139e-01,-6.921186894619267838e-01,-8.293796250991416485e+00
2.939999999999999947e+00,-5.225604529293665923e-01,-6.437258038604082300e-01,-8.293606147952496954e+00
2.950000000000000178e+00,-5.287529021644682414e-01,-5.947640431599259259e-01,-8.293443354636288234e+00
2.959999999999999964e+00,-5.344531064652623398e-01,-5.452768169988910785e-01,-8.293305897630782297e+00
2.970000000000000195e+00,-5.396560284109580552e-01,-4.953075721402334652e-01,-8.293191751457893446e+00
2.979999999999999982e+00,-5.443570651543190309e-01,-4.448997765319525621e-01,-8.293098844763626687e+00
2.990000000000000213e+00,-5.485520485713342165e-01,-3.940969068710837298e-01,-8.293025066062288175e+00
