time,x_numeric,x_analytic,velocity
1.860000000000000098e+00,7.530051250291898424e-02,7.530051372318594116e-02,1.033322731934322725e-01
1.870000000000000107e+00,7.629500852131453070e-02,7.629500962289902100e-02,9.555294971628239264e-02
1.880000000000000115e+00,7.721130512367177512e-02,7.721130610437958175e-02,8.769371983293561268e-02
1.890000000000000124e+00,7.804864324790079799e-02,7.804864410565309774e-02,7.976259391799332688e-02
1.900000000000000133e+00,7.880634422151658325e-02,7.880634495435316633e-02,7.176763815951547887e-02
1.910000000000000142e+00,7.948381027895823348e-02,7.948381088504054282e-02,6.371696639004958973e-02
1.919999999999999929e+00,8.008052499705524407e-02,8.008052547466934512e-02,5.561873188638846721e-02
1.929999999999999938e+00,8.059605364836941455e-02,8.059605399592886799e-02,4.748111914631049368e-02
1.939999999999999947e+00,8.103004347222346471e-02,8.103004368827196324e-02,3.931233565056277413e-02
1.949999999999999956e+00,8.138222386331010749e-02,8.138222394652411262e-02,3.112060361834580527e-02
1.959999999999999964e+00,8.165240647785790284e-02,8.165240642704903185e-02,2.291415176454817543e-02
1.969999999999999973e+00,8.184048525741244307e-02,8.184048507152980045e-02,1.470120706696166797e-02
1.979999999999999982e+00,8.194643637037385409e-02,8.194643604850607166e-02,6.489986551680688651e-03
1.989999999999999991e+00,8.197031807151319849e-02,8.197031761289055862e-02,-1.711310895144575392e-03
2.000000000000000000e+00,8.191227047977210629e-02,8.191226988376830442e-02,-9.894512681074598900e-03
2.010000000000000231e+00,8.177251527473085313e-02,8.177251454086467697e-02,-1.805148061859044792e-02
2.020000000000000018e+00,8.155135531221044398e-02,8.155135444014735557e-02,-2.617411898572985507e-02
2.030000000000000249e+00,8.124917415955447419e-02,8.124917314910791444e-02,-3.425438252819853341e-02
2.040000000000000036e+00,8.086643555121530991e-02,8.086643440234796143e-02,-4.228428439508022385e-02
2.049999999999999822e+00,8.040368276534767822e-02,8.040368147817242295e-02,-5.025590400035107042e-02
2.060000000000000053e+00,7.986153792219023717e-02,7.986153649697110002e-02,-5.816139480249345878e-02
2.069999999999999840e+00,7.924070120509228710e-02,7.924069964224517149e-02,-6.599299199460191556e-02
2.080000000000000071e+00,7.854195000511821068e-02,7.854194830521125936e-02,-7.374302009747794873e-02
2.089999999999999858e+00,7.776613799023690543e-02,7.776613615399113888e-02,-8.140390044832296335e-02
2.100000000000000089e+00,7.691419410017669156e-02,7.691419212846592468e-02,-8.896815857775711156e-02
2.109999999999999876e+00,7.598712146809810664e-02,7.598711936194918470e-02,-9.642843146801824417e-02
2.120000000000000107e+00,7.498599627030819170e-02,7.498599403090064341e-02,-1.037774746853279972e-01
2.129999999999999893e+00,7.391196650530898471e-02,7.391196413397489728e-02,-1.110081693795518659e-01
2.140000000000000124e+00,7.276625070354096614e-02,7.276624820176420816e-02,-1.181135291444261742e-01
2.149999999999999911e+00,7.155013656924889831e-02,7.155013393866468951e-02,-1.250867067317778525e-01
2.160000000000000142e+00,7.026497955596229528e-02,7.026497679835620735e-02,-1.319210006133217650e-01
2.169999999999999929e+00,6.891220137714615390e-02,6.891219849445319456e-02,-1.386098613837853932e-01
2.180000000000000160e+00,6.749328845363920804e-02,6.749328544794236384e-02,-1.451468979992818209e-01
2.189999999999999947e+00,6.600979029955685029e-02,6.600978717308607358e-02,-1.515258838450284085e-01
2.200000000000000178e+00,6.446331784839409718e-02,6.446331460352433540e-02,-1.577407626266910945e-01
2.209999999999999964e+00,6.285554172112005344e-02,6.285553836036987529e-02,-1.637856540798217075e-01
2.220000000000000195e+00,6.118819043810993369e-02,6.118818696413932251e-02,-1.696548594920486153e-01
2.229999999999999982e+00,5.946304857681286582e-02,5.946304499242142938e-02,-1.753428670328782968e-01
2.240000000000000213e+00,5.768195487710435498e-02,5.768195118522882053e-02,-1.808443568861685669e-01
2.250000000000000000e+00,5.584680029632037995e-02,5.584679650003250562e-02,-1.861542061805405712e-01
2.260000000000000231e+00,5.395952601601669563e-02,5.395952211852024505e-02,-1.912674937132082809e-01
2.270000000000000018e+00,5.202212140254070666e-02,5.202211740716920774e-02,-1.961795044629194851e-01
2.280000000000000249e+00,5.003662192354554200e-02,5.003661783375893540e-02,-2.008857338879216359e-01
2.290000000000000036e+00,4.800510702261553270e-02,4.800510284199748651e-02,-2.053818920050886065e-01
2.300000000000000266e+00,4.592969795420985546e-02,4.592969368646428185e-02,-2.096639072465711906e-01
2.310000000000000053e+00,4.381255558116635418e-02,4.381255123011436325e-02,-2.137279300905630119e-01
2.319999999999999840e+00,4.165587813704045572e-02,4.165587370661652522e-02,-2.175703364630065806e-01
2.330000000000000071e+00,3.946189895558468996e-02,3.946189444983300848e-02,-2.211877309072991238e-01
2.339999999999999858e+00,3.723288416970248205e-02,3.723287959277346570e-02,-2.245769495192952159e-01
2.350000000000000089e+00,3.497113038223582937e-02,3.497112573838187521e-02,-2.277350626451435933e-01
2.359999999999999876e+00,3.267896231096976967e-02,3.267895760454148091e-02,-2.306593773397370983e-01
2.370000000000000107e+00,3.035873041025763733e-02,3.035872564569924367e-02,-2.333474395837978888e-01
2.379999999999999893e+00,2.801280847168961807e-02,2.801280365353507953e-02,-2.357970362578659940e-01
2.390000000000000124e+00,2.564359120624318603e-02,2.564358633911128366e-02,-2.380061968717047116e-01
2.399999999999999911e+00,2.325349181036766993e-02,2.325348689895789106e-02,-2.399731950478840303e-01
2.410000000000000142e+00,2.084493951846633567e-02,2.084493456755384319e-02,-2.416965497585514544e-01
2.419999999999999929e+00,1.842037714424800757e-02,1.842037215867920602e-02,-2.431750263146477409e-01
2.430000000000000160e+00,1.598225861342647547e-02,1.598225359811365764e-02,-2.444076371070740272e-01
2.439999999999999947e+00,1.353304649024959089e-02,1.353304145016648828e-02,-2.453936420995656564e-01
2.450000000000000178e+00,1.107520950034119114e-02,1.107520444051735518e-02,-2.461325490732765575e-01
2.459999999999999964e+00,8.611220052337669947e-03,8.611214977853781302e-03,-2.466241136233255637e-01
2.470000000000000195e+00,6.143551760797300726e-03,6.143546676779581758e-03,-2.468683389078041579e-01
2.479999999999999982e+00,3.674676972854173506e-03,3.674671884469414822e-03,-2.468654751499906319e-01
2.490000000000000213e+00,1.207064301079933434e-03,1.207059213529611654e-03,-2.466160188947612297e-01
2.500000000000000000e+00,-1.256823834994615346e-03,-1.256828916479239919e-03,-2.461207120204318699e-01
2.510000000000000231e+00,-3.714533656259530123e-03,-3.714538726423481131e-03,-2.453805405075064894e-01
2.520000000000000018e+00,-6.163622457884812209e-03,-6.163627511454485182e-03,-2.443967329660474974e-01
2.530000000000000249e+00,-8.601661027254344644e-03,-8.601666058943467294e-03,-2.431707589236216105e-01
2.540000000000000036e+00,-1.102623604359118797e-02,-1.102624104810613279e-02,-2.417043268760097341e-01
2.550000000000000266e+00,-1.343495245691378980e-02,-1.343495742895974704e-02,-2.399993821031020380e-01
2.560000000000000053e+00,-1.582543584398801717e-02,-1.582544077827416698e-02,-2.380581042526289937e-01
2.569999999999999840e+00,-1.819533473896757514e-02,-1.819533963021324405e-02,-2.358829046946061547e-01
2.580000000000000071e+00,-2.054232293644528418e-02,-2.054232777938569399e-02,-2.334764236495932010e-01
2.589999999999999858e+00,-2.286410176466973851e-02,-2.286410655406136833e-02,-2.308415270940880337e-01
2.600000000000000089e+00,-2.515840232671625112e-02,-2.515840705734315869e-02,-2.279813034465923427e-01
2.609999999999999876e+00,-2.742298770743733724e-02,-2.742299237411650881e-02,-2.248990600380972038e-01
2.620000000000000107e+00,-2.965565514405654052e-02,-2.965565974164379240e-02,-2.215983193709451515e-01
2.629999999999999893e+00,-3.185423815831003869e-02,-3.185424268170562734e-02,-2.180828151702286499e-01
2.640000000000000124e+00,-3.401660864808297297e-02,-3.401661309223769775e-02,-2.143564882320838083e-01
2.649999999999999911e+00,-3.614067893653208352e-02,-3.614068329645248046e-02,-2.104234820734323941e-01
2.660000000000000142e+00,-3.822440377673270995e-02,-3.822440804748717530e-02,-2.062881383879141550e-01
2.669999999999999929e+00,-4.026578230993650004e-02,-4.026578648666043897e-02,-2.019549923129362878e-01
2.680000000000000160e+00,-4.226285997557639729e-02,-4.226286405347826763e-02,-1.974287675129447750e-01
2.689999999999999947e+00,-4.421373037120738397e-02,-4.421373434557373389e-02,-1.927143710841965896e-01
2.700000000000000178e+00,-4.611653706062507352e-02,-4.611654092682641176e-02,-1.878168882864787448e-01
2.709999999999999964e+00,-4.796947532845952794e-02,-4.796947908195529908e-02,-1.827415771073829243e-01
2.720000000000000195e+00,-4.977079387959854745e-02,-4.977079751594289808e-02,-1.774938626648998041e-01
2.729999999999999982e+00,-5.151879648185310467e-02,-5.151879999669969901e-02,-1.720793314542474750e-01
2.740000000000000213e+00,-5.321184355033740238e-02,-5.321184693944475130e-02,-1.665037254449923121e-01
2.750000000000000000e+00,-5.484835367209735246e-02,-5.484835693133376100e-02,-1.607729360346576430e-01
2.760000000000000231e+00,-5.642680506958393238e-02,-5.642680819493268302e-02,-1.548929978651470418e-01
2.770000000000000018e+00,-5.794573700163162255e-02,-5.794573998919553409e-02,-1.488700825084330326e-01
