t,linear_v,exp_v,logistic_v,linear_n,exp_n,logistic_n
213.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032784294411118676,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002552632778757244,614.4399999999999,864.9795224728596,829.4971356347983
216.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002954539079875257,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045149502803429855,623.0799999999999,864.9823748290528,834.2664924684424
219.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020609209747638337,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007030414722169646,631.72,864.9848298747798,838.4157055154242
222.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011129281673146314,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009800732879727111,640.36,864.9869429522196,842.0201975495878
225.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004653698190651411,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124126188473877,649.0,864.9887616948268,845.1475523977379
228.0,0.0,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001446653855338641,657.64,864.990327101096,847.8579758457571
231.0,0.0,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015689726017470486,666.28,864.9916744587581,850.2048352152112
234.0,0.0,0.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015989598174513535,674.9200000000001,864.9928341402451,852.2352366170121
237.0,0.0,0.0,0.0,683.5600000000001,864.993832287351,853.9906100630076
240.0,0.0,0.0,0.0,692.2,864.9946914005267,855.5072815671675
243.0,0.0,0.0,0.0,700.84,864.9954308460897,856.8170183451986
246.0,0.0,0.0,0.0,709.4799999999999,864.9960672927839,857.9475385236699
249.0,0.0,0.0,0.0,718.12,864.9966150875302,858.9229806980842
252.0,0.0,0.0,0.0,726.76,864.9970865788378,859.7643315112713
255.0,0.0,0.0,0.0,735.4,864.9974923951669,860.4898114007656
258.0,0.0,0.0,0.0,744.04,864.9978416845184,861.1152199889468
261.0,0.0,0.0,0.0,752.68,864.9981423206493,861.6542434272602
264.0,0.0,0.0,0.0,761.32,864.9984010805653,862.1187264863948
267.0,0.0,0.0,0.0,769.96,864.9986237972889,862.5189124094749
270.0,0.0,0.0,0.0,778.6,864.9988154913494,862.8636535926677
273.0,0.0,0.0,0.0,787.24,864.9989804839562,863.1605960854068
276.0,0.0,0.0,0.0,795.88,864.999122494409,863.4163407536862
279.0,0.0,0.0,0.0,804.5200000000001,864.9992447239384,863.6365837558111
282.0,0.0,0.0,0.0,813.16,864.9993499278695,863.8262387628295
285.0,0.0,0.0,0.0,821.8,864.999440477732,863.989543130992
288.0,0.0,0.0,0.0,830.4399999999999,864.9995184147209,864.1301500114461
291.0,0.0,0.0,0.0,839.0799999999999,864.999585495709,864.2512081696275
294.0,0.0,0.0,0.0,847.72,864.9996432328505,864.3554310875652
297.0,0.0,0.0,0.0,856.36,864.9996929276687,864.4451567386938
300.0,0.0,0.0,0.0,865.0,864.9997357003951,864.522399257698
