Day,Algae_kg,Plants_kg,O2_kg
348.0,10.0,5.999999999999997,89.3072000000011
349.0,10.0,5.999999999999997,89.27360000000111
350.0,10.0,5.999999999999997,89.24000000000112
351.0,10.0,5.999999999999997,89.20640000000112
352.0,10.0,5.999999999999997,89.17280000000113
353.0,10.0,5.999999999999997,89.13920000000114
354.0,10.0,5.999999999999997,89.10560000000115
355.0,10.0,5.999999999999997,89.07200000000115
356.0,10.0,5.999999999999997,89.03840000000116
357.0,10.0,5.999999999999997,89.00480000000117
358.0,10.0,5.999999999999997,88.97120000000118
359.0,10.0,5.999999999999997,88.93760000000118
360.0,10.0,5.999999999999997,88.90400000000119
361.0,10.0,5.999999999999997,88.8704000000012
362.0,10.0,5.999999999999997,88.8368000000012
363.0,10.0,5.999999999999997,88.80320000000121
364.0,10.0,5.999999999999997,88.76960000000122
365.0,10.0,5.999999999999997,88.73600000000123
