source,target,distance_m,weight
79,770,443923.03275077743,443.92303275077745
84,166,365770.20450824004,365.77020450824006
84,641,466234.12180671724,466.23412180671727
85,166,172326.48425224578,172.32648425224576
85,307,398145.0299559127,398.14502995591266
85,641,275982.09901444137,275.98209901444136
85,643,125561.76884893619,125.5617688489362
87,461,355812.67885291215,355.81267885291214
88,150,496828.6262364128,496.8286262364128
88,383,248027.05209932878,248.02705209932878
88,554,493502.5251927928,493.5025251927928
89,595,313780.80295101774,313.78080295101773
90,812,309655.27123250806,309.6552712325081
91,438,379836.6273893645,379.83662738936454
91,777,343135.5494558152,343.13554945581524
92,851,346388.05715480243,346.3880571548024
92,860,481302.8587791405,481.30285877914054
94,534,427892.67370807764,427.8926737080776
96,274,444959.25063909416,444.95925063909414
97,246,299261.50144807325,299.26150144807326
97,343,443531.2665970747,443.5312665970747
98,100,475418.99116977456,475.41899116977453
98,640,231120.57478435745,231.12057478435744
101,200,315847.4400206047,315.8474400206047
101,349,497075.62995132175,497.07562995132173
101,584,484900.8415422579,484.9008415422579
101,591,421078.9706711777,421.07897067117773
102,253,433351.7779872891,433.35177798728915
102,404,210233.56449755118,210.23356449755119
103,136,488094.58738454466,488.09458738454464
103,274,335363.9176170768,335.36391761707677
103,834,436767.18123238784,436.7671812323878
104,273,222446.12742241618,222.44612742241617
105,141,380987.5929517873,380.9875929517873
106,654,470074.0244614532,470.0740244614532
108,213,149990.33551030618,149.99033551030618
109,148,447602.9316726493,447.6029316726493
110,143,408462.8561119704,408.4628561119704
110,696,357116.37718334177,357.1163771833418
111,730,234691.83506034207,234.69183506034207
113,120,27948.491093567514,27.948491093567515
113,680,374030.4852468954,374.0304852468954
115,513,373014.5398600935,373.0145398600935
115,529,244543.984118937,244.543984118937
116,385,376868.31866589806,376.8683186658981
117,387,300261.99115709646,300.2619911570965
117,597,334363.57089211023,334.36357089211026
117,670,431703.00853509625,431.7030085350963
117,728,354868.4180993133,354.86841809931326
118,453,317479.29215210903,317.47929215210905
118,473,73678.03190028093,73.67803190028093
119,287,426406.3502081466,426.4063502081466
119,501,200310.3433542207,200.31034335422072
120,680,393685.8670427758,393.6858670427758
121,405,88502.88091214409,88.5028809121441
121,568,399987.21437099855,399.9872143709986
121,594,381871.66328810423,381.87166328810423
123,181,220586.24905390255,220.58624905390255
123,206,332438.7105883477,332.4387105883477
123,770,167589.5051114262,167.5895051114262
124,542,209304.01856667278,209.30401856667277
124,663,371819.20318759046,371.81920318759046
124,776,372020.4663535352,372.0204663535352
125,804,291341.43332398677,291.3414333239868
125,863,466691.55983631266,466.69155983631265
126,389,410915.9700309554,410.9159700309554
129,263,314425.1692061489,314.4251692061489
129,815,349242.26767195767,349.2422676719577
130,526,401952.8494088146,401.95284940881464
132,546,483669.184258381,483.669184258381
132,772,337044.5216918445,337.0445216918445
133,583,214155.39663222362,214.1553966322236
134,364,451967.8676634485,451.9678676634485
135,690,408713.3950858148,408.7133950858148
135,706,272878.5993042729,272.8785993042729
135,761,421161.4436270094,421.1614436270094
137,257,264109.55331753247,264.10955331753246
137,800,393905.47569298197,393.90547569298195
140,226,399361.2538864301,399.3612538864301
140,843,496651.18438221386,496.65118438221384
141,155,347257.6438275969,347.2576438275969
142,275,419320.80530478933,419.32080530478936
142,582,224604.6511543199,224.6046511543199
143,696,438450.7921803181,438.4507921803181
144,386,143285.0870238144,143.2850870238144
146,483,151003.8585329856,151.00385853298562
146,559,107575.00707647577,107.57500707647577
147,550,367755.4640543668,367.7554640543668
148,557,346273.52186803543,346.2735218680354
149,288,433641.8939642664,433.6418939642664
149,466,303876.6633794979,303.87666337949787
152,775,390100.5477997834,390.1005477997834
156,547,371174.0135839266,371.1740135839266
159,214,313181.92334184685,313.18192334184687
160,392,264967.8977733604,264.96789777336045
161,162,301140.89309727715,301.14089309727717
161,544,384345.6578637816,384.34565786378164
164,283,372130.08316067647,372.13008316067646
165,437,487915.15857070603,487.915158570706
165,551,256650.9885862881,256.65098858628807
166,307,449247.64470535034,449.24764470535035
166,641,203836.50228202605,203.83650228202606
166,643,288466.571066687,288.466571066687
167,689,32458.573183375636,32.458573183375634
167,842,336662.4659426142,336.6624659426142
168,312,453393.7637611988,453.3937637611988
168,334,218172.72291890008,218.1727229189001
